Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
14540,1,60,239,1000,2545255,2828296,6.40094,0
14580,1,60,199,1000,2545276,2828343,9.67659,0
14640,1,60,139,1000,2545257,2828366,13.9,0
14680,1,60,99,1000,2545255,2828382,14.9209,0
14720,1,60,59,1000,2545264,2828398,12.092,0
14760,1,60,19,1000,2545274,2828401,8.85565,0
14800,1,60,979,1000,2545267,2828380,6.77956,0
14840,1,60,939,1000,2545231,2828294,2.67142,0
14880,1,60,899,1000,2545201,2828272,-7.79983,1
14920,1,60,859,1000,2545185,2828230,-23.5486,0
14960,1,60,819,1000,2545200,2828280,-37.0583,0
15000,1,60,779,1000,2545191,2828282,-41.4573,0
15060,1,60,719,1000,2545203,2828284,-36.014,0
15100,1,60,679,1000,2545156,2828250,-26.2994,0
15140,1,60,639,1000,2545173,2828262,-18.574,0
15180,1,60,599,1000,2545205,2828318,-10.4083,0
15220,1,60,559,1000,2545172,2828309,0.373105,0
15270,1,60,509,1000,2545193,2828320,9.60509,0
15310,1,60,469,1000,2545218,2828380,17.9146,0
15350,1,60,429,1000,2545217,2828399,27.1734,0
15390,1,60,389,1000,2545227,2828426,34.7921,0
15430,1,60,349,1000,2545230,2828433,38.6228,0
15490,1,60,289,1000,2545206,2828398,36.6525,0
15530,1,60,249,1000,2545201,2828413,27.4214,0
15570,1,60,209,1000,2545160,2828393,11.8353,0
15610,1,60,169,1000,2545146,2828354,-7.90174,1
15650,1,60,129,1000,2545143,2828335,-26.1856,0
15690,1,60,89,1000,2545150,2828365,-36.1525,0
15700,1,60,79,1000,2545155,2828309,-35.0721,0
15730,1,60,49,1000,2545125,2828285,-27.1223,0
15780,1,60,999,1000,2545126,2828299,-19.246,0
15810,1,60,969,1000,2545149,2828354,-12.0236,0
15860,1,60,919,1000,2545135,2828346,-3.62852,0
15910,1,60,869,1000,2545108,2828348,2.15017,0
15950,1,60,829,1000,2545110,2828367,2.27062,0
15990,1,60,789,1000,2545082,2828310,-1.68475,1
16030,1,60,749,1000,2545059,2828302,-8.64338,0
16070,1,60,709,1000,2545041,2828289,-17.2549,0
