Time (s),Red,IR,filtered,isZeroX
56.97,2818885,3111324,0,0
57.01,2818880,3111351,0,0
57.05,2818886,3111403,0,0
57.09,2818903,3111436,0,0
57.13,2818849,3111301,0,0
57.17,2818725,3110964,0,0
57.22,2818688,3110793,0,0
57.26,2818694,3110806,0,0
57.30,2818716,3110870,0,0
57.34,2818743,3111005,0,0
57.40,2818793,3111112,0,0
57.44,2818805,3111133,0,0
57.48,2818807,3111147,0,0
57.52,2818801,3111126,0,0
57.56,2818811,3111112,0,0
57.60,2818805,3111153,0,0
57.64,2818814,3111187,0,0
57.68,2818841,3111223,0,0
57.72,2818851,3111248,0,0
57.76,2818857,3111265,0,0
57.80,2818868,3111295,0,0
57.84,2818873,3111324,0,0
57.88,2818882,3111356,0,0
57.92,2818875,3111377,0,0
57.96,2818895,3111434,0,0
58.00,2818902,3111475,0,0
58.04,2818908,3111462,0,0
58.08,2818824,3111242,0,0
58.12,2818736,3110962,0,0
58.16,2818718,3110901,0,0
58.20,2818717,3110962,0,0
58.24,2818781,3111096,0,0
58.28,2818813,3111207,0,0
58.33,2818836,3111304,0,0
58.37,2818863,3111331,0,0
58.43,2818868,3111360,0,0
58.47,2818853,3111357,0,0
58.51,2818866,3111374,0,0
58.55,2818900,3111363,0,0
58.59,2818904,3111413,0,0
58.63,2818902,3111512,0,0
58.65,2818930,3111557,0,0
58.69,2818934,3111524,0,0
58.73,2818926,3111577,0,0
58.77,2818943,3111572,0,0
58.80,2818934,3111571,0,0
58.85,2818936,3111553,0,0
58.89,2818920,3111636,0,0
58.93,2818924,3111656,0,0
58.97,2818882,3111516,0,0
59.01,2818796,3111208,0,0
59.07,2818755,3111088,0,0
59.11,2818771,3111205,0,0
59.15,2818797,3111267,0,0
59.19,2818829,3111354,0,0
59.23,2818850,3111352,0,0
59.29,2818830,3111330,0,0
59.33,2818841,3111309,0,0
59.37,2818808,3111330,0,0
59.41,2818835,3111374,0,0
59.45,2818851,3111414,0,0
59.50,2818868,3111445,0,0
59.54,2818874,3111495,0,0
59.58,2818881,3111515,0,0
59.62,2818878,3111539,0,0
59.66,2818865,3111530,0,0
59.72,2818882,3111570,0,0
59.76,2818906,3111609,0,0
59.80,2818882,3111569,0,0
59.84,2818813,3111346,0,0
59.88,2818705,3111069,0,0
59.94,2818670,3110977,0,0
59.98,2818692,3111037,0,0
60.02,2818740,3111126,0,0
60.06,2818760,3111239,0,0
60.10,2818782,3111303,0,0
60.14,2818793,3111317,0,0
60.14,2818785,3111341,0,0
60.18,2818799,3111332,0,0
60.22,2818778,3111356,0,0
60.26,2818795,3111385,0,0
60.30,2818815,3111440,0,0
60.36,2818802,3111450,0,0
60.40,2818813,3111463,0,0
60.44,2818801,3111494,0,0
60.48,2818809,3111469,0,0
60.52,2818823,3111482,0,0
60.58,2818824,3111508,0,0
60.62,2818834,3111548,0,0
60.66,2818856,3111564,0,0
60.70,2818820,3111518,0,0
60.74,2818741,3111287,0,0
60.78,2818673,3111051,0,0
60.79,2818653,3111032,0,0
60.83,2818683,3111108,0,0
60.87,2818728,3111219,0,0
60.91,2818762,3111319,0,0
60.95,2818790,3111420,0,0
60.99,2818795,3111442,0,0
61.03,2818820,3111497,0,0
61.07,2818850,3111568,0,0
61.11,2818879,3111690,0,0
61.15,2818975,3111872,0,0
61.19,2819033,3112014,0,0
61.23,2819042,3112079,0,0
61.27,2819009,3112019,0,0
61.31,2818995,3111973,0,0
61.35,2818969,3111927,0,0
61.39,2818964,3111873,0,0
61.43,2818950,3111880,0,0
61.47,2818959,3111862,0,0
61.51,2818978,3111851,0,0
61.55,2818912,3111634,0,0
61.61,2818779,3111388,0,0
61.65,2818726,3111233,0,0
61.69,2818750,3111296,0,0
61.73,2818819,3111402,0,0
61.77,2818882,3111618,0,0
61.81,2818969,3111793,0,0
61.85,2819011,3111877,0,0
61.89,2818989,3111837,0,0
61.93,2818978,3111858,0,0
61.97,2818979,3111916,0,0
62.02,2818994,3111964,0,0
62.06,2819027,3111982,0,0
62.10,2819085,3112076,0,0
62.14,2819069,3112139,0,0
62.18,2819117,3112216,0,0
62.24,2819156,3112246,0,0
62.28,2819162,3112336,0,0
62.32,2819190,3112393,0,0
62.36,2819206,3112466,0,0
62.40,2819267,3112534,0,0
62.44,2819260,3112535,0,0
62.44,2819170,3112293,0,0
62.48,2819093,3112050,0,0
62.52,2819074,3112050,0,0
62.56,2819103,3112124,0,0
62.60,2819147,3112232,0,0
62.66,2819187,3112360,0,0
62.70,2819225,3112439,0,0
62.74,2819236,3112477,0,0
62.78,2819266,3112487,0,0
62.82,2819250,3112456,0,0
62.86,2819266,3112504,0,0
62.90,2819288,3112543,0,0
62.94,2819301,3112578,0,0
62.98,2819319,3112638,0,0
63.02,2819316,3112657,0,0
63.06,2819307,3112632,0,0
63.10,2819304,3112588,0,0
63.14,2819282,3112580,0,0
63.18,2819287,3112594,0,0
63.22,2819280,3112615,0,0
63.29,2819146,3112275,0,0
63.33,2819113,3112112,0,0
63.37,2819098,3112084,0,0
63.41,2819117,3112108,0,0
63.45,2819086,3112183,0,0
63.49,2819128,3112220,0,0
63.53,2819139,3112234,0,0
63.57,2819089,3112167,0,0
63.61,2819059,3112124,0,0
63.65,2819073,3112139,0,0
63.69,2819097,3112199,0,0
63.73,2819149,3112296,0,0
63.77,2819194,3112426,0,0
63.81,2819257,3112561,0,0
63.85,2819299,3112682,0,0
63.91,2819309,3112745,0,0
63.95,2819323,3112762,0,0
63.99,2819360,3112831,0,0
64.03,2819385,3112868,0,0
64.07,2819308,3112688,0,0
64.13,2819076,3112067,0,0
64.17,2819062,3112021,0,0
64.21,2819077,3112070,0,0
64.25,2819129,3112201,0,0
64.29,2819202,3112380,0,0
64.33,2819215,3112430,0,0
64.37,2819199,3112376,0,0
64.41,2819163,3112303,0,0
64.45,2819125,3112247,0,0
64.49,2819118,3112218,0,0
64.56,2819108,3112230,0,0
64.60,2819137,3112241,0,0
64.64,2819163,3112304,0,0
64.68,2819223,3112451,0,0
64.72,2819297,3112649,0,0
64.76,2819376,3112744,0,0
64.78,2819387,3112812,0,0
64.82,2819354,3112797,0,0
64.86,2819239,3112514,0,0
64.90,2819083,3112157,0,0
64.94,2818976,3111835,0,0
64.98,2818930,3111753,0,0
65.02,2818881,3111732,0,0
65.06,2818912,3111782,0,0
65.10,2818957,3111892,0,0
65.14,2818987,3111951,0,0
65.18,2818960,3111907,0,0
65.22,2818938,3111878,0,0
65.26,2818940,3111849,0,0
65.30,2818912,3111846,0,0
65.34,2818907,3111822,0,0
65.38,2818904,3111837,0,0
65.42,2818903,3111841,0,0
65.46,2818907,3111826,0,0
65.50,2818900,3111830,0,0
65.54,2818915,3111844,0,0
65.58,2818902,3111815,0,0
65.62,2818914,3111826,0,0
65.66,2818863,3111703,0,0
65.70,2818779,3111457,0,0
65.74,2818722,3111286,0,0
65.81,2818721,3111285,0,0
65.85,2818753,3111385,0,0
65.89,2818799,3111528,0,0
65.93,2818831,3111635,0,0
65.97,2818865,3111696,0,0
66.01,2818855,3111710,0,0
66.03,2818870,3111728,0,0
66.07,2818890,3111749,0,0
66.11,2818912,3111814,0,0
66.15,2818921,3111864,0,0
66.19,2818927,3111877,0,0
66.23,2818942,3111904,0,0
66.27,2818928,3111916,0,0
66.31,2818929,3111949,0,0
66.35,2818986,3112050,0,0
66.39,2819006,3112118,0,0
66.45,2819043,3112214,0,0
66.49,2819037,3112158,0,0
66.53,2818969,3111936,0,0
66.57,2818903,3111793,0,0
66.61,2818907,3111809,0,0
66.65,2818942,3111875,0,0
66.67,2818963,3111992,0,0
66.71,2819020,3112131,0,0
66.75,2819085,3112248,0,0
66.79,2819074,3112254,0,0
66.83,2819101,3112278,0,0
66.88,2819139,3112334,0,0
66.92,2819131,3112381,0,0
66.95,2819118,3112394,0,0
67.00,2819162,3112454,0,0
67.03,2819166,3112501,0,0
67.09,2819154,3112504,0,0
67.14,2819174,3112544,0,0
67.17,2819203,3112606,0,0
67.22,2819196,3112630,0,0
67.25,2819142,3112442,0,0
67.30,2819064,3112244,0,0
67.33,2819039,3112112,0,0
