Time (s),Red,IR
11.79,3091081,3098856
11.84,3091040,3098763
11.88,3090824,3098204
11.92,3090567,3097586
11.96,3090387,3097159
12.00,3090326,3096928
12.04,3090346,3096974
12.08,3090404,3097140
12.12,3090442,3097229
12.16,3090452,3097234
12.20,3090455,3097277
12.26,3090517,3097384
12.30,3090584,3097512
12.34,3090651,3097693
12.38,3090736,3097881
12.42,3090789,3098067
12.46,3090836,3098161
12.48,3090899,3098291
12.52,3090943,3098431
12.56,3091011,3098537
12.60,3091071,3098746
12.64,3091135,3098892
12.70,3091184,3099035
12.74,3091164,3099016
12.78,3090974,3098530
12.82,3090701,3097890
12.86,3090501,3097434
12.90,3090417,3097206
12.90,3090425,3097222
12.94,3090490,3097383
12.98,3090514,3097515
13.02,3090542,3097502
13.06,3090536,3097507
13.12,3090557,3097550
13.16,3090612,3097680
13.20,3090648,3097839
13.24,3090725,3097981
13.28,3090793,3098144
13.33,3090849,3098277
13.37,3090901,3098410
13.41,3090944,3098525
13.45,3091001,3098677
13.49,3091062,3098801
13.53,3091168,3099081
13.57,3091159,3099063
13.61,3090951,3098579
13.65,3090699,3097988
13.75,3090493,3097444
13.79,3090517,3097469
13.83,3090582,3097624
13.87,3090605,3097712
13.91,3090607,3097720
13.97,3090594,3097693
14.01,3090643,3097764
14.05,3090705,3097876
14.09,3090786,3098059
14.13,3090848,3098205
14.19,3090900,3098366
14.22,3090958,3098489
14.27,3091018,3098633
14.30,3091038,3098725
14.35,3091088,3098851
14.38,3091157,3099016
14.39,3091213,3099176
14.43,3091238,3099235
14.47,3091096,3098874
14.51,3090786,3098163
14.55,3090530,3097490
14.60,3090352,3097044
14.64,3090287,3096888
14.68,3090320,3096990
14.72,3090386,3097149
14.76,3090416,3097190
14.82,3090418,3097157
14.86,3090461,3097225
14.90,3090498,3097326
14.94,3090559,3097462
14.98,3090632,3097650
15.02,3090700,3097788
15.02,3090758,3097978
15.06,3090813,3098101
15.10,3090877,3098219
15.14,3090933,3098356
15.18,3090986,3098474
15.24,3091068,3098646
15.28,3091123,3098759
15.32,3091052,3098673
15.36,3090817,3098093
15.40,3090494,3097288
15.46,3090251,3096670
15.50,3090153,3096396
15.54,3090165,3096412
15.58,3090249,3096607
15.62,3090313,3096769
15.67,3090328,3096776
15.71,3090361,3096844
15.75,3090426,3096991
15.79,3090494,3097141
15.83,3090574,3097342
15.88,3090655,3097529
15.92,3090729,3097698
15.96,3090791,3097814
16.00,3090830,3097953
16.04,3090875,3098047
16.09,3090938,3098199
16.13,3091013,3098360
16.17,3091017,3098419
16.21,3090850,3098031
16.25,3090518,3097245
16.31,3090272,3096564
16.35,3090133,3096179
16.39,3090122,3096082
16.43,3090169,3096242
16.47,3090261,3096469
16.51,3090273,3096529
16.51,3090271,3096502
16.55,3090291,3096553
16.59,3090352,3096670
16.63,3090435,3096866
16.67,3090542,3097046
16.73,3090607,3097256
16.77,3090678,3097394
16.81,3090742,3097545
16.85,3090766,3097678
16.89,3090829,3097785
16.95,3090886,3097941
16.99,3090962,3098136
17.03,3090997,3098246
17.07,3090907,3098029
17.11,3090612,3097302
17.15,3090318,3096525
17.16,3090145,3096084
17.20,3090107,3095965
17.24,3090168,3096096
17.28,3090260,3096344
17.32,3090311,3096500
17.37,3090310,3096480
17.41,3090325,3096512
17.45,3090359,3096604
17.49,3090432,3096774
17.53,3090497,3096968
17.58,3090588,3097144
17.62,3090657,3097314
17.66,3090712,3097475
17.70,3090750,3097618
17.74,3090799,3097747
17.80,3090934,3098034
17.84,3090978,3098169
17.88,3090897,3097981
17.92,3090599,3097302
17.96,3090299,3096518
18.02,3090117,3096065
18.06,3090072,3095950
18.10,3090133,3096089
18.14,3090212,3096313
18.18,3090285,3096456
18.24,3090275,3096476
18.28,3090268,3096446
18.32,3090315,3096525
18.36,3090369,3096688
18.40,3090471,3096925
18.44,3090541,3097112
18.46,3090606,3097272
18.50,3090659,3097426
18.54,3090694,3097512
18.58,3090737,3097626
18.62,3090788,3097771
18.68,3090849,3097907
18.71,3090888,3098033
18.75,3090815,3097895
18.80,3090559,3097274
18.84,3090298,3096532
18.88,3090130,3096115
18.88,3090102,3096032
18.92,3090173,3096232
18.96,3090258,3096465
19.00,3090297,3096552
19.04,3090298,3096555
19.10,3090304,3096573
19.14,3090376,3096704
19.18,3090427,3096871
19.22,3090518,3097043
19.26,3090589,3097227
19.31,3090643,3097360
19.35,3090697,3097502
19.39,3090737,3097601
19.43,3090789,3097721
19.47,3090855,3097880
19.51,3090899,3098024
19.53,3090867,3097961
19.57,3090646,3097405
19.61,3090314,3096577
19.65,3090099,3096021
19.69,3090021,3095833
19.73,3090045,3095899
19.77,3090170,3096135
19.81,3090231,3096326
19.85,3090254,3096369
19.89,3090258,3096357
19.95,3090302,3096425
19.99,3090357,3096594
20.03,3090441,3096799
20.07,3090527,3096990
20.11,3090593,3097172
20.16,3090656,3097305
20.20,3090695,3097424
20.24,3090749,3097571
20.28,3090826,3097728
20.32,3090880,3097872
20.36,3090885,3097906
20.37,3090677,3097421
20.41,3090312,3096527
20.45,3090020,3095766
20.49,3089871,3095383
20.53,3089836,3095291
20.58,3089929,3095474
20.62,3090008,3095697
20.66,3090060,3095789
20.70,3090059,3095800
20.74,3090088,3095863
20.80,3090163,3095986
20.84,3090231,3096172
20.88,3090317,3096406
20.92,3090395,3096617
20.96,3090481,3096800
21.00,3090530,3096935
21.02,3090572,3097044
21.06,3090637,3097208
21.10,3090699,3097368
21.14,3090730,3097481
21.18,3090644,3097264
21.22,3090332,3096502
21.26,3089983,3095648
21.30,3089788,3095124
21.34,3089724,3094931
21.38,3089789,3095031
21.44,3089887,3095289
21.48,3089952,3095453
21.52,3089938,3095446
21.56,3089978,3095508
21.60,3090034,3095622
21.64,3090107,3095818
21.65,3090200,3096043
21.69,3090312,3096258
21.73,3090390,3096445
21.77,3090434,3096599
21.81,3090479,3096713
21.86,3090514,3096846
21.90,3090605,3097023
21.94,3090669,3097201
21.98,3090697,3097264
22.02,3090511,3096863
22.07,3090190,3096017
22.11,3089912,3095300
22.15,3089762,3094913
22.19,3089749,3094845
22.23,3089838,3095062
22.29,3089934,3095302
22.33,3089971,3095415
22.37,3089972,3095425
22.41,3089999,3095499
22.45,3090086,3095643
22.49,3090159,3095848
22.49,3090244,3096058
22.53,3090317,3096249
22.57,3090393,3096437
22.61,3090456,3096571
22.65,3090480,3096695
22.71,3090550,3096868
22.75,3090614,3097035
22.79,3090664,3097192
22.83,3090680,3097209
22.87,3090466,3096739
22.93,3090142,3095928
22.97,3089888,3095295
23.01,3089754,3094992
23.05,3089765,3095005
23.09,3089897,3095285
23.13,3089986,3095521
23.14,3089990,3095551
23.18,3089979,3095561
23.23,3090025,3095648
23.27,3090093,3095793
23.30,3090179,3095986
23.35,3090255,3096191
23.39,3090318,3096362
23.43,3090373,3096516
23.47,3090431,3096668
23.51,3090491,3096773
23.56,3090534,3096933
23.60,3090610,3097114
23.64,3090660,3097253
23.68,3090625,3097192
23.72,3090413,3096670
23.76,3090113,3095933
23.78,3089914,3095449
23.82,3089866,3095274
23.86,3089949,3095436
23.90,3090064,3095741
23.94,3090102,3095913
24.00,3090117,3095891
24.04,3090131,3095932
24.08,3090175,3096025
24.12,3090233,3096204
24.16,3090337,3096404
24.20,3090488,3096771
24.24,3090539,3096942
24.28,3090590,3097069
24.32,3090639,3097197
24.42,3090767,3097514
24.46,3090823,3097624
24.50,3090692,3097357
24.54,3090386,3096580
24.58,3090075,3095795
24.63,3089891,3095324
24.67,3089823,3095166
24.71,3089880,3095312
24.75,3089969,3095573
24.79,3090017,3095712
24.84,3090020,3095715
24.88,3090050,3095749
24.92,3090105,3095885
24.96,3090180,3096073
25.00,3090269,3096278
25.06,3090349,3096486
25.10,3090418,3096628
25.14,3090494,3096813
25.18,3090526,3096932
25.22,3090579,3097069
25.26,3090650,3097247
