Time (s),Red,IR,filtered,isZeroX
61.86,3361414,3383674,22.82,0
61.90,3361257,3383346,19.46,0
61.94,3361129,3382980,-13.66,1
62.02,3361122,3383014,-72.05,0
62.06,3361118,3383088,-123.78,0
62.10,3361196,3383295,-140.13,0
62.14,3361189,3383269,-113.89,0
62.18,3361178,3383330,-63.31,0
62.24,3361186,3383361,-12.43,0
62.28,3361145,3383331,23.8,0
62.32,3361183,3383437,41.51,0
62.36,3361199,3383495,49.15,0
62.40,3361232,3383583,56.09,0
62.46,3361183,3383564,61.64,0
62.50,3361214,3383611,61.0,0
62.54,3361187,3383577,54.69,0
62.58,3361083,3383465,38.36,0
62.62,3361112,3383510,9.92,0
62.67,3360971,3383346,-24.18,1
62.71,3360773,3382910,-71.23,0
62.75,3360603,3382575,-139.98,0
62.79,3360584,3382628,-211.24,0
62.83,3360569,3382619,-248.95,0
62.89,3360591,3382713,-232.61,0
62.93,3360575,3382740,-169.03,0
62.97,3360600,3382764,-80.88,0
63.01,3360535,3382699,5.06,0
63.05,3360551,3382761,68.62,0
63.11,3360614,3382853,110.8,0
63.15,3360521,3382822,136.93,0
63.19,3360536,3382901,143.02,0
63.23,3360580,3382989,137.5,0
63.27,3360561,3383005,132.84,0
63.31,3360555,3383038,128.03,0
63.31,3360544,3383011,118.84,0
63.35,3360577,3383100,106.63,0
63.39,3360598,3383138,96.47,0
63.43,3360646,3383176,91.84,0
63.47,3360517,3382938,83.62,0
63.51,3360405,3382670,50.93,0
63.55,3360376,3382561,-8.31,1
63.59,3360361,3382564,-69.86,0
63.63,3360359,3382605,-109.94,0
63.67,3360381,3382728,-118.2,0
63.73,3360456,3382907,-93.44,0
63.77,3360442,3382924,-45.62,0
63.81,3360475,3382993,5.12,0
63.85,3360537,3383043,47.14,0
63.89,3360631,3383156,82.82,0
63.93,3360667,3383263,114.15,0
63.97,3360765,3383417,138.77,0
64.01,3360721,3383396,150.34,0
64.05,3360763,3383507,140.43,0
64.09,3360737,3383464,109.93,0
64.14,3360764,3383499,67.67,0
64.18,3360827,3383611,28.1,0
64.22,3360851,3383606,3.75,0
64.26,3360877,3383612,-6.22,1
64.30,3360815,3383419,-13.85,0
64.36,3360700,3383151,-37.57,0
64.39,3360684,3383178,-82.87,0
64.44,3360776,3383346,-125.65,0
64.47,3360866,3383501,-133.78,0
64.52,3360907,3383661,-100.44,0
64.56,3360966,3383742,-43.68,0
64.58,3360937,3383695,10.67,0
64.62,3360951,3383684,41.71,0
64.66,3360941,3383686,44.79,0
64.70,3360910,3383656,26.1,0
64.74,3360906,3383724,-4.63,1
64.78,3360915,3383789,-33.81,0
64.82,3360842,3383729,-55.14,0
64.86,3360932,3383848,-65.94,0
64.90,3360983,3383969,-55.79,0
64.94,3361012,3384002,-24.26,0
65.00,3361030,3384060,13.69,0
65.04,3360963,3383958,38.94,0
65.08,3360844,3383596,32.36,0
65.12,3360836,3383484,-7.05,1
65.16,3360861,3383500,-53.13,0
65.20,3360768,3383417,-84.5,0
65.22,3360768,3383506,-100.08,0
65.26,3360798,3383620,-97.44,0
65.30,3360735,3383603,-77.81,0
65.34,3360742,3383630,-53.24,0
65.38,3360737,3383586,-29.93,0
65.42,3360708,3383598,-10.05,0
65.46,3360805,3383785,9.28,0
65.50,3360809,3383780,35.8,0
65.54,3360810,3383832,64.48,0
65.58,3360852,3383895,86.19,0
65.63,3360848,3383903,98.7,0
65.67,3360836,3383941,98.97,0
65.71,3360792,3383873,83.57,0
65.75,3360853,3383944,58.61,0
65.79,3360718,3383764,30.26,0
65.87,3360419,3383094,-21.45,1
65.91,3360460,3383115,-103.35,0
65.95,3360442,3383148,-174.49,0
65.99,3360484,3383280,-197.5,0
66.03,3360557,3383455,-164.34,0
66.08,3360578,3383492,-88.64,0
66.12,3360581,3383476,-1.49,0
66.17,3360593,3383522,68.62,0
66.20,3360612,3383548,110.16,0
66.25,3360631,3383602,125.83,0
66.29,3360676,3383704,125.74,0
66.33,3360666,3383738,118.5,0
66.37,3360666,3383758,105.35,0
66.41,3360659,3383790,86.11,0
66.45,3360676,3383803,64.19,0
66.51,3360681,3383858,44.33,0
66.55,3360586,3383710,22.91,0
66.59,3360497,3383458,-11.66,1
66.63,3360369,3383185,-64.34,0
66.67,3360346,3383138,-124.32,0
66.73,3360371,3383200,-165.93,0
66.77,3360376,3383256,-169.34,0
66.81,3360456,3383452,-132.82,0
66.85,3360490,3383549,-66.53,0
66.89,3360485,3383552,7.09,0
66.93,3360471,3383524,62.74,0
66.97,3360488,3383609,89.86,0
67.01,3360545,3383701,96.72,0
67.05,3360576,3383699,97.76,0
67.13,3360553,3383832,96.5,0
67.17,3360571,3383873,88.91,0
67.21,3360573,3383889,75.51,0
67.25,3360603,3383904,60.64,0
67.35,3360402,3383561,36.16,0
67.39,3360326,3383306,-14.29,1
67.43,3360257,3383150,-83.28,0
67.47,3360284,3383232,-141.49,0
67.51,3360423,3383474,-156.47,0
67.55,3360479,3383612,-113.46,0
67.59,3360502,3383739,-33.93,0
67.63,3360580,3383823,48.55,0
67.67,3360528,3383773,108.69,0
67.71,3360590,3383832,132.99,0
67.76,3360579,3383837,126.92,0
67.80,3360672,3383970,107.16,0
67.84,3360758,3384079,93.44,0
67.88,3360763,3384125,92.45,0
67.92,3360777,3384140,92.13,0
67.97,3360761,3384085,80.28,0
68.02,3360782,3384142,54.65,0
68.06,3360750,3384099,19.85,0
68.09,3360729,3384061,-19.85,1
68.14,3360663,3383808,-62.07,0
68.19,3360264,3382862,-124.42,0
68.23,3360269,3382851,-218.73,0
68.28,3360304,3383013,-300.48,0
68.31,3360456,3383255,-312.06,0
68.36,3360552,3383542,-237.28,0
68.40,3360613,3383651,-104.87,0
68.44,3360564,3383594,29.87,0
68.48,3360578,3383632,121.06,0
68.52,3360679,3383810,162.74,0
68.56,3360715,3383826,175.7,0
68.62,3360693,3383904,171.2,0
68.66,3360672,3383922,148.69,0
68.70,3360685,3383993,112.89,0
68.74,3360633,3383983,71.99,0
68.78,3360632,3384013,30.71,0
68.82,3360678,3384058,-1.64,1
68.84,3360651,3384011,-18.07,0
68.88,3360571,3383845,-28.7,0
68.92,3360359,3383319,-56.77,0
68.96,3360270,3383098,-114.45,0
69.00,3360273,3383139,-179.01,0
69.04,3360363,3383329,-208.63,0
69.08,3360470,3383575,-176.93,0
69.12,3360531,3383708,-90.63,0
69.16,3360532,3383756,14.53,0
69.20,3360554,3383769,100.04,0
69.24,3360536,3383739,145.75,0
69.28,3360582,3383827,152.93,0
69.32,3360617,3383918,138.52,0
69.36,3360648,3383998,119.48,0
69.40,3360771,3384180,108.92,0
69.47,3360784,3384222,112.65,0
69.50,3360813,3384285,119.73,0
69.55,3360805,3384311,115.34,0
69.58,3360832,3384381,94.55,0
69.62,3360798,3384340,59.8,0
69.67,3360684,3384081,9.51,0
69.68,3360472,3383513,-66.01,1
69.72,3360378,3383288,-164.6,0
69.76,3360418,3383365,-252.46,0
69.80,3360469,3383528,-286.76,0
69.84,3360500,3383686,-254.61,0
69.89,3360573,3383876,-173.2,0
69.93,3360592,3383902,-71.32,0
69.97,3360611,3383905,20.92,0
70.01,3360601,3383896,82.6,0
70.05,3360586,3383902,107.15,0
70.11,3360626,3384006,103.49,0
70.15,3360642,3384087,89.71,0
70.19,3360687,3384170,79.47,0
