Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
36595,1.46482,87,211,682,2252846,1976720,466.998,0
36635,1.46482,87,171,682,2253008,1976922,382.884,0
36675,1.46482,87,131,682,2253682,1977482,251.271,0
36715,1.46482,87,91,682,2253767,1977583,202.958,0
36755,1.46482,87,51,682,2253260,1977232,194.598,0
36816,1.46482,87,672,682,2253263,1977306,118.061,0
36856,1.40288,84,534,712,2253580,1977615,-4.26728,1
36896,1.40288,84,494,712,2254198,1978162,-55.654,0
36936,1.40288,84,454,712,2254551,1978483,30.4669,0
36976,1.40288,84,414,712,2253919,1978058,157.36,0
37016,1.40288,84,374,712,2254168,1978436,179.073,0
37056,1.40288,84,334,712,2254986,1979077,141.81,0
37096,1.40288,84,294,712,2254615,1978571,136.056,0
37136,1.40288,84,254,712,2253279,1977263,32.5173,0
37236,1.50288,90,498,665,2253972,1977545,-245.183,1
37276,1.50288,90,458,665,2254044,1977532,-504.304,0
37316,1.50288,90,418,665,2253176,1976891,-649.744,0
37356,1.50288,90,378,665,2252823,1976692,-775.317,0
37396,1.50288,90,338,665,2252891,1976799,-882.963,0
37437,1.50288,90,297,665,2253573,1977341,-849.757,0
37477,1.50288,90,257,665,2253485,1977331,-614.454,0
37517,1.50288,90,217,665,2252635,1976715,-328.202,0
37557,1.50288,90,177,665,2252224,1976487,-197.259,0
37597,1.50288,90,137,665,2252937,1977110,-191.464,0
37658,1.50288,90,76,665,2253323,1977453,-114.275,0
37698,1.50288,90,36,665,2252590,1976944,55.6816,0
37738,1.50288,90,661,665,2252146,1976747,152.495,0
37778,1.50288,90,621,665,2252969,1977391,161.693,0
37818,1.50288,90,581,665,2253602,1977643,255.753,0
37877,1.50288,90,522,665,2252783,1976752,438.586,0
37917,1.50288,90,482,665,2252479,1976328,514.653,0
37957,1.50288,90,442,665,2253341,1976860,466.213,0
37997,1.50288,90,402,665,2253385,1976814,443.69,0
38037,1.50288,90,362,665,2253198,1976675,460.74,0
38077,1.50288,90,322,665,2253410,1976902,451.245,0
38077,1.50288,90,322,665,2253305,1976846,403.938,0
38117,1.50288,90,282,665,2253213,1976815,313.016,0
38157,1.50288,90,242,665,2253485,1977066,198.107,0
38197,1.50288,90,202,665,2253508,1977136,109.673,0
38237,1.50288,90,162,665,2252896,1976739,21.2531,0
38297,1.40288,84,534,712,2252936,1976870,-122.535,1
38337,1.40288,84,494,712,2253529,1977397,-245.557,0
38377,1.40288,84,454,712,2253319,1977288,-256.022,0
38417,1.40288,84,414,712,2252706,1976897,-233.199,0
38457,1.40288,84,374,712,2253076,1977270,-258.997,0
38519,1.40288,84,312,712,2253773,1977697,-239.895,0
38559,1.40288,84,272,712,2253495,1977186,-111.331,0
38599,1.40288,84,232,712,2252792,1976364,-8.18676,0
38639,1.40288,84,192,712,2253122,1976443,-32.9181,0
38679,1.40288,84,152,712,2253728,1976785,-72.9037,0
38719,1.40288,84,112,712,2253553,1976592,-22.6162,0
38740,1.40288,84,91,712,2253224,1976414,46.9928,0
38780,1.40288,84,51,712,2253161,1976455,44.9751,0
38820,1.50288,90,498,665,2253287,1976591,-10.9668,1
38860,1.50288,90,458,665,2253574,1976865,-43.1622,0
38900,1.50288,90,418,665,2253740,1977056,-0.907547,0
38960,1.50288,90,358,665,2253434,1976878,76.4424,0
39000,1.50288,90,318,665,2253528,1977071,114.194,0
39040,1.50288,90,278,665,2254308,1977742,146.897,0
39080,1.50288,90,238,665,2254577,1977996,259.024,0
39120,1.50288,90,198,665,2254018,1977648,381.87,0
39160,1.50288,90,158,665,2253686,1977479,357.563,0
39160,1.50288,90,158,665,2254194,1977950,193.697,0
39200,1.50288,90,118,665,2254467,1977951,49.0071,0
39240,1.60288,96,467,623,2253365,1976792,-60.2313,1
39280,1.60288,96,427,623,2252170,1975697,-305.896,0
39320,1.60288,96,387,623,2253471,1976551,-640.582,0
39380,1.60288,96,327,623,2254188,1977008,-734.806,0
39420,1.60288,96,287,623,2253310,1976334,-530.005,0
39460,1.60288,96,247,623,2252727,1975969,-315.569,0
39500,1.60288,96,207,623,2252928,1976219,-247.605,0
39540,1.60288,96,167,623,2254433,1977416,-163.118,0
39601,1.60288,96,106,623,2255103,1977971,146.134,0
39641,1.60288,96,66,623,2254373,1977469,566.792,0
39681,1.60288,96,26,623,2253674,1977042,766.718,0
39721,1.60288,96,609,623,2253597,1977086,615.829,0
39761,1.60288,96,569,623,2253889,1977324,282.632,0
39801,1.57133,94,477,636,2253498,1977139,-31.7817,1
39820,1.57133,94,458,636,2252978,1976831,-286.518,0
39860,1.57133,94,418,636,2252407,1976502,-521.136,0
39900,1.57133,94,378,636,2253265,1977211,-670.861,0
39940,1.57133,94,338,636,2254041,1977668,-565.751,0
39980,1.57133,94,298,636,2253171,1976710,-246.377,0
