Time (s)Time (s),Red,IR
1214.8161282.995,2815330,2819729
1214.8561283.035,2815565,2820130
1214.91283.075,2815669,2820289
1214.941283.115,2815799,2820481
1214.981283.155,2815800,2820419
1215.021283.195,2815795,2820385
1215.061283.235,2815839,2820438
1215.1011283.275,2816043,2820988
1215.1411283.315,2816466,2821967
1215.1811283.36,2816808,2822739
1215.2211283.4,2817027,2823401
1215.2611283.44,2817196,2824035
1215.3051283.48,2817376,2824484
1215.3451283.52,2817533,2824735
1215.3851283.564,2817668,2825026
1215.4251283.604,2817768,2825314
1215.4651283.644,2817816,2825457
1215.511283.684,2817882,2825621
1215.551283.724,2817911,2825797
1215.591283.77,2817910,2825958
1215.631283.81,2817918,2826091
1215.671283.85,2817954,2826228
1215.711283.89,2818009,2826458
1215.751283.93,2818061,2826640
1215.791283.974,2818058,2826547
1215.831284.014,2817997,2826238
1215.871284.054,2817935,2825944
1215.911284.094,2817891,2825703
1215.951284.134,2817814,2825551
1215.991284.179,2817717,2825308
1216.031284.219,2817653,2825175
1216.071284.259,2817558,2825132
1216.1141284.299,2817421,2824864
1216.1541284.339,2817304,2824430
1216.1941284.385,2817130,2823958
1216.2341284.425,2817051,2823767
1216.2741284.465,2817151,2823839
1216.3141284.505,2817348,2824072
1216.3541284.545,2817641,2824573
1216.3941284.585,2817880,2825080
1216.4341284.592,2818055,2825466
1216.4741284.632,2818204,2825726
1216.5151284.672,2818307,2825945
1216.5551284.712,2818383,2826144
1216.5951284.752,2818440,2826338
1216.6351284.798,2818477,2826488
1216.6751284.838,2818485,2826567
1216.721284.878,2818462,2826345
1216.761284.918,2818393,2826056
1216.81284.958,2818337,2825852
1216.841285.001,2818262,2825668
1216.881285.041,2818216,2825548
1216.9271285.081,2818194,2825504
1216.9671285.121,2818204,2825578
1217.0071285.161,2818233,2825629
1217.0471285.207,2818255,2825618
1217.0871285.247,2818266,2825666
1217.1291285.287,2818350,2825770
1217.1691285.327,2818490,2825914
1217.2091285.367,2818644,2826135
1217.2491285.412,2818735,2826340
1217.2891285.452,2818797,2826550
1217.3341285.492,2818848,2826687
1217.3741285.532,2818843,2826779
1217.4141285.572,2818815,2826829
1217.4541285.619,2818764,2826818
1217.4941285.659,2818712,2826809
1217.5391285.699,2818690,2826783
1217.5791285.739,2818639,2826730
1217.6191285.779,2818556,2826552
1217.6591285.819,2818367,2826071
1217.6991285.824,2818164,2825520
1217.7411285.864,2817986,2825094
1217.7811285.904,2817844,2824812
1217.8211285.944,2817737,2824563
1217.8611285.984,2817683,2824453
1217.9011286.028,2817645,2824419
1217.9421286.068,2817667,2824432
1217.9821286.108,2817683,2824434
1218.0221286.148,2817724,2824492
1218.0621286.188,2817787,2824585
1218.1021286.234,2817855,2824712
1218.1421286.274,2817926,2824907
1218.1461286.314,2817995,2825092
1218.1861286.354,2818045,2825230
1218.2261286.394,2818099,2825378
1218.2661286.437,2818125,2825523
1218.3061286.477,2818147,2825646
1218.3511286.517,2818183,2825752
1218.3911286.557,2818236,2825864
1218.4311286.597,2818275,2826023
1218.4711286.641,2818304,2826056
1218.5111286.681,2818222,2825826
1218.5531286.721,2818091,2825457
1218.5931286.761,2817974,2825131
1218.6331286.801,2817901,2824919
1218.6731286.844,2817831,2824778
1218.7131286.884,2817778,2824702
1218.7551286.924,2817774,2824751
1218.7951286.964,2817755,2824747
1218.8351287.004,2817738,2824692
1218.8751287.049,2817724,2824667
1218.9151287.089,2817743,2824713
1218.9561287.129,2817759,2824763
1218.9961287.169,2817786,2824836
1219.0361287.209,2817817,2824938
1219.0761287.256,2817838,2825016
1219.1161287.296,2817886,2825121
1219.1611287.336,2817909,2825227
1219.2011287.376,2817948,2825306
1219.2411287.416,2817977,2825401
1219.2811287.456,2818021,2825469
1219.3211287.459,2818075,2825567
1219.3641287.499,2818090,2825623
1219.4041287.539,2818021,2825440
1219.4441287.579,2817897,2825017
1219.4841287.619,2817780,2824632
1219.5241287.661,2817692,2824348
1219.5681287.701,2817652,2824122
1219.6081287.741,2817623,2823953
1219.6481287.781,2817641,2823904
1219.6881287.821,2817683,2823953
1219.7281287.864,2817729,2823965
1219.7681287.904,2817726,2823947
1219.8081287.944,2817739,2823954
1219.8481287.984,2817766,2824014
1219.8881288.024,2817805,2824073
1219.9281288.068,2817828,2824134
1219.9741288.108,2817891,2824176
1220.0141288.148,2817875,2824241
1220.0541288.188,2817825,2824238
1220.0941288.228,2817868,2824315
1220.1341288.274,2817844,2824365
1220.1791288.314,2817874,2824419
1220.2191288.354,2817879,2824483
1220.2591288.394,2817893,2824532
1220.2991288.434,2817892,2824534
1220.3391288.478,2817792,2824351
1220.381288.518,2817654,2823923
1220.421288.558,2817522,2823559
1220.461288.598,2817417,2823267
1220.51288.638,2817346,2823070
1220.541288.678,2817281,2822932
1220.5831288.718,2817329,2822976
1220.6231288.758,2817352,2823095
1220.6631288.798,2817389,2823154
1220.7031288.838,2817422,2823221
1220.7431288.883,2817450,2823306
1220.7881288.923,2817486,2823398
1220.8281288.963,2817534,2823499
1220.8681289.003,2817577,2823604
1220.9081289.043,2817618,2823695
1220.9481289.086,2817638,2823811
1220.9921289.126,2817685,2823939
1221.0321289.166,2817718,2824032
1221.0721289.206,2817764,2824124
1221.1121289.246,2817798,2824241
1221.1521289.286,2817819,2824347
1221.1931289.29,2817853,2824440
1221.2331289.33,2817861,2824482
1221.2731289.37,2817804,2824312
1221.3131289.41,2817683,2823951
1221.3531289.45,2817541,2823605
1221.3971289.494,2817421,2823348
1221.4371289.534,2817349,2823143
1221.4771289.574,2817308,2823026
1221.5171289.614,2817327,2823083
1221.5571289.654,2817337,2823107
1221.5991289.701,2817343,2823113
1221.6391289.741,2817368,2823156
1221.6791289.781,2817403,2823267
1221.7191289.821,2817447,2823368
1221.7591289.861,2817506,2823489
