Time (s),Red,IR
17.938,2544270,2550326
17.978,2544311,2550418
18.018,2544326,2550483
18.058,2544348,2550506
18.098,2544385,2550592
18.157,2544375,2550521
18.197,2544195,2550165
18.237,2543947,2549572
18.277,2543813,2549268
18.317,2543766,2549252
18.377,2543882,2549446
18.417,2543881,2549486
18.457,2543893,2549420
18.497,2543841,2549399
18.537,2543858,2549420
18.578,2543893,2549537
18.618,2543985,2549724
18.658,2544081,2549837
18.698,2544092,2549993
18.738,2544079,2550064
18.799,2544150,2550147
18.839,2544198,2550226
18.879,2544224,2550295
18.919,2544250,2550389
18.959,2544291,2550512
19.002,2544326,2550591
19.042,2544352,2550643
19.082,2544359,2550669
19.122,2544202,2550297
19.162,2543990,2549814
19.202,2543861,2549562
19.242,2543795,2549394
19.282,2543769,2549371
19.322,2543808,2549453
19.362,2543862,2549577
19.423,2543881,2549666
19.463,2543915,2549717
19.503,2543960,2549829
19.543,2543999,2549883
19.583,2544024,2549947
19.623,2544068,2550120
19.626,2544125,2550229
19.666,2544152,2550288
19.706,2544152,2550243
19.746,2544199,2550372
19.786,2544199,2550452
19.846,2544214,2550474
19.886,2544256,2550562
19.926,2544307,2550701
19.966,2544395,2550902
20.006,2544350,2550813
20.05,2544174,2550395
20.09,2544006,2550009
20.13,2543874,2549746
20.17,2543809,2549682
20.21,2543897,2549812
20.253,2543977,2550017
20.293,2543964,2550045
20.333,2543995,2550056
20.373,2544044,2550154
20.472,2544140,2550431
20.512,2544234,2550625
20.552,2544238,2550663
20.592,2544274,2550724
20.632,2544322,2550821
20.673,2544362,2550920
20.713,2544415,2551053
20.753,2544448,2551124
20.793,2544448,2551135
20.833,2544485,2551098
20.894,2544474,2551172
20.934,2544303,2550818
20.974,2544088,2550336
21.014,2543946,2549998
21.054,2543816,2549775
21.116,2543790,2549637
21.156,2543819,2549756
21.196,2543901,2549933
21.236,2543891,2549905
21.276,2543860,2549935
21.316,2543927,2549989
21.317,2543962,2550060
21.357,2544013,2550197
21.397,2544063,2550280
21.437,2544124,2550393
21.477,2544155,2550506
21.518,2544150,2550461
21.558,2544158,2550521
21.598,2544218,2550650
21.638,2544229,2550765
21.678,2544233,2550715
21.738,2544254,2550856
21.778,2544259,2550716
21.818,2544156,2550533
21.858,2543917,2549971
21.898,2543711,2549529
21.941,2543609,2549290
21.981,2543570,2549198
22.021,2543576,2549228
22.061,2543599,2549287
