Time (s)Time (s),Red,IR
1122.5591262.216,2808639,3087039
1122.5991262.256,2808705,3087021
1122.6391262.296,2808768,3087066
1122.6841262.336,2808843,3087158
1122.7241262.377,2809014,3087365
1122.7641262.417,2809184,3087585
1122.8041262.457,2809324,3087770
1122.8441262.497,2809458,3087961
1122.8861262.537,2809586,3088152
1122.9261262.583,2809745,3088343
1122.9661262.623,2809915,3088578
1123.0061262.663,2810063,3088796
1123.0461262.703,2810245,3089077
1123.0861262.743,2810437,3089366
1123.0881262.783,2810616,3089676
1123.1281262.786,2810806,3089937
1123.1681262.826,2810842,3089807
1123.2081262.866,2810881,3089597
1123.2481262.906,2810993,3089639
1123.2941262.946,2811135,3089782
1123.3341262.99,2811260,3089976
1123.3741263.03,2811413,3090197
1123.4141263.07,2811562,3090527
1123.4541263.11,2811716,3090841
1123.4991263.15,2811857,3091058
1123.5391263.191,2812001,3091306
1123.5791263.231,2812142,3091623
1123.6191263.271,2812286,3091952
1123.6591263.311,2812425,3092297
1123.7041263.351,2812565,3092600
1123.7441263.396,2812676,3092861
1123.7841263.436,2812774,3093057
1123.8241263.476,2812790,3093144
1123.8641263.516,2812767,3093138
1123.9091263.556,2812718,3093040
1123.9491263.602,2812617,3092906
1123.9891263.642,2812584,3092781
1124.0291263.682,2812535,3092645
1124.0691263.722,2812426,3092430
1124.1121263.762,2812302,3092215
1124.1521263.806,2812130,3091814
1124.1921263.846,2811872,3091136
1124.2321263.886,2811642,3090518
1124.2721263.926,2811448,3090103
1124.3181263.966,2811267,3089772
1124.3581264.009,2811123,3089480
1124.3981264.049,2811012,3089248
1124.4381264.089,2810933,3089107
1124.4781264.129,2810848,3088946
1124.5231264.169,2810772,3088791
1124.5631264.209,2810740,3088679
1124.6031264.249,2810703,3088568
1124.6431264.289,2810652,3088513
1124.6831264.329,2810626,3088450
1124.7231264.369,2810621,3088428
1124.7281264.416,2810595,3088373
1124.7681264.456,2810554,3088321
1124.8081264.496,2810529,3088283
1124.8481264.536,2810508,3088244
1124.8881264.576,2810491,3088213
1124.9311264.616,2810475,3088192
1124.9711264.617,2810461,3088189
1125.0111264.657,2810465,3088192
1125.0511264.697,2810476,3088205
1125.0911264.737,2810479,3088194
1125.1391264.777,2810424,3087979
1125.1791264.818,2810263,3087466
1125.2191264.858,2810118,3086985
1125.2591264.898,2810020,3086638
1125.2991264.938,2809957,3086389
1125.3461264.978,2809921,3086199
1125.3861265.02,2809930,3086108
1125.4261265.06,2809981,3086099
1125.4661265.1,2810002,3086071
1125.5061265.14,2810053,3086076
1125.5511265.18,2810110,3086112
1125.5911265.221,2810148,3086142
1125.6311265.261,2810251,3086246
1125.6711265.301,2810333,3086366
1125.7111265.341,2810419,3086488
1125.7561265.381,2810484,3086583
1125.7961265.424,2810574,3086710
1125.8361265.464,2810667,3086861
1125.8761265.504,2810745,3086967
1125.9161265.544,2810841,3087095
1125.9561265.584,2810943,3087249
1125.9561265.63,2811069,3087448
1125.9961265.67,2811216,3087695
1126.0361265.71,2811377,3087945
1126.0761265.75,2811583,3088216
1126.1161265.79,2811706,3088184
1126.1571265.836,2811764,3088038
1126.1971265.876,2811881,3088085
1126.2371265.916,2812000,3088206
1126.2771265.956,2812122,3088353
1126.3171265.996,2812208,3088489
1126.361266.037,2812284,3088665
1126.41266.077,2812344,3088793
1126.441266.117,2812380,3088835
1126.481266.157,2812457,3088932
1126.521266.197,2812522,3089044
1126.5631266.238,2812581,3089197
1126.6031266.278,2812674,3089394
1126.6431266.318,2812791,3089641
1126.6831266.358,2812889,3089855
1126.7231266.398,2813001,3090059
1126.7671266.438,2813081,3090214
1126.8071266.478,2813166,3090367
1126.8471266.518,2813256,3090552
1126.8871266.558,2813332,3090702
1126.9271266.598,2813390,3090852
1126.9711266.639,2813464,3090999
1127.0111266.679,2813538,3091165
1127.0511266.719,2813597,3091278
1127.0911266.759,2813567,3091201
1127.1311266.799,2813426,3090699
1127.1781266.839,2813318,3090234
1127.2181266.879,2813280,3090069
1127.2581266.919,2813300,3090031
1127.2981266.959,2813317,3090051
1127.3381266.999,2813358,3090134
1127.3821267.044,2813421,3090302
1127.4221267.084,2813497,3090452
1127.4621267.124,2813521,3090495
1127.5021267.164,2813527,3090531
1127.5421267.204,2813555,3090623
1127.5891267.248,2813704,3090965
1127.6291267.288,2813758,3091101
1127.6691267.328,2813802,3091218
1127.7091267.368,2813870,3091351
1127.7491267.408,2813890,3091453
1127.7891267.45,2813942,3091575
1127.7941267.49,2813988,3091706
1127.8341267.53,2813998,3091769
1127.8741267.57,2814002,3091787
1127.9141267.61,2813990,3091807
1127.9541267.652,2813992,3091815
1127.9981267.692,2813941,3091787
1128.0381267.732,2813854,3091593
1128.0781267.772,2813713,3091108
1128.1181267.812,2813591,3090701
1128.1581267.855,2813498,3090457
1128.2041267.895,2813402,3090282
1128.2441267.935,2813346,3090157
1128.2841267.975,2813300,3090088
1128.3241268.015,2813297,3090138
1128.3641268.058,2813297,3090161
1128.4061268.098,2813284,3090117
1128.4461268.138,2813267,3090127
1128.4861268.178,2813298,3090172
1128.5261268.218,2813309,3090231
1128.5661268.26,2813318,3090303
1128.6131268.3,2813360,3090374
1128.6531268.34,2813370,3090411
1128.6931268.38,2813362,3090452
1128.7331268.42,2813349,3090445
1128.7731268.466,2813317,3090443
1128.8131268.506,2813292,3090462
1128.8531268.546,2813283,3090480
1128.8931268.586,2813266,3090484
1128.9331268.626,2813258,3090487
1128.9731268.671,2813243,3090485
1129.0181268.711,2813186,3090406
1129.0581268.751,2813058,3090086
1129.0981268.791,2812919,3089667
1129.1381268.831,2812758,3089327
1129.1781268.873,2812617,3089058
1129.221268.913,2812496,3088838
1129.261268.953,2812411,3088669
1129.31268.993,2812340,3088579
1129.341269.033,2812286,3088479
1129.381269.074,2812209,3088372
1129.4241269.114,2812171,3088284
1129.4641269.154,2812157,3088237
1129.5041269.194,2812157,3088236
1129.5441269.234,2812139,3088234
1129.5841269.28,2812127,3088224
1129.6241269.32,2812154,3088248
1129.6311269.36,2812169,3088255
1129.6711269.4,2812157,3088277
1129.7111269.44,2812157,3088285
1129.7511269.48,2812154,3088301
1129.7911269.485,2812174,3088328
1129.8341269.525,2812168,3088338
1129.8741269.565,2812175,3088367
1129.9141269.605,2812167,3088377
1129.9541269.645,2812126,3088204
1129.9941269.689,2812005,3087799
1130.0391269.729,2811872,3087406
1130.0791269.769,2811740,3087088
1130.1191269.809,2811668,3086845
1130.1591269.849,2811607,3086651
1130.1991269.893,2811581,3086547
1130.2421269.933,2811582,3086538
1130.2821269.973,2811559,3086478
1130.3221270.013,2811549,3086402
1130.3621270.053,2811601,3086419
1130.4021270.096,2811628,3086420
1130.4451270.136,2811646,3086466
1130.4851270.176,2811654,3086503
1130.5251270.216,2811684,3086549
1130.5651270.256,2811717,3086587
1130.6051270.298,2811734,3086577
1130.6481270.338,2811741,3086597
1130.6881270.378,2811745,3086600
1130.7281270.418,2811731,3086568
1130.7681270.458,2811659,3086527
1130.8081270.505,2811565,3086425
1130.8511270.545,2811496,3086288
1130.8911270.585,2811340,3086020
1130.9311270.625,2811145,3085452
1130.9711270.665,2810995,3084873
1131.0111270.708,2810805,3084305
1131.0511270.748,2810684,3083843
1131.0911270.788,2810687,3083625
1131.1311270.828,2810698,3083510
1131.1711270.868,2810702,3083475
1131.2111270.911,2810694,3083417
1131.2511270.951,2810614,3083210
1131.2911270.991,2810541,3082958
1131.3311271.031,2810523,3082823
1131.3711271.071,2810509,3082745
1131.4111271.111,2810445,3082638
1131.4511271.118,2810299,3082394
1131.4911271.158,2810215,3082181
1131.5311271.198,2810066,3081816
1131.5711271.238,2810037,3081613
1131.6111271.278,2810100,3081619
1131.6541271.323,2810151,3081595
1131.6941271.363,2810165,3081570
1131.7341271.403,2810218,3081625
1131.7741271.443,2810255,3081682
1131.8141271.483,2810270,3081644
