Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
29282,0.977168,58,425,1023,2257275,1980134,174.467,0
29304,0.977168,58,403,1023,2257804,1980384,61.061,0
29344,1.07717,64,696,928,2258206,1980564,-15.8776,1
29384,1.07717,64,656,928,2257875,1980231,8.03988,0
29424,1.07717,64,616,928,2257372,1979904,22.2695,0
29464,0.977168,58,767,1023,2257323,1979932,-55.7175,1
29523,0.977168,58,708,1023,2257932,1980447,-143.568,0
29563,0.977168,58,668,1023,2258036,1980563,-121.295,0
29603,0.977168,58,628,1023,2257425,1980128,-36.6048,0
29643,0.977168,58,588,1023,2257199,1980035,-27.1725,0
29683,0.977168,58,548,1023,2257550,1980401,-91.0423,0
29725,0.977168,58,506,1023,2257590,1980526,-124.778,0
29765,0.977168,58,466,1023,2257219,1980288,-115.01,0
29805,0.977168,58,426,1023,2257302,1980488,-109.576,0
29845,0.977168,58,386,1023,2257620,1980826,-85.8908,0
29944,0.977168,58,287,1023,2257823,1980776,4.61466,0
29984,0.977168,58,247,1023,2257214,1980010,106.947,0
30024,0.977168,58,207,1023,2257719,1980180,148.39,0
30064,0.977168,58,167,1023,2258400,1980523,204.367,0
30104,0.977168,58,127,1023,2258489,1980458,346.171,0
30163,0.977168,58,68,1023,2257790,1979919,457.9,0
30203,0.977168,58,28,1023,2257795,1980014,402.429,0
30243,0.977168,58,1011,1023,2258103,1980300,231.509,0
30283,0.977168,58,971,1023,2258216,1980415,83.1147,0
