Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
5257,0.979118,58,311,1021,2.81728e+06,3.09845e+06
5297,0.979118,58,271,1021,2.81729e+06,3.0985e+06
5337,0.979118,58,231,1021,2.8173e+06,3.09854e+06
5377,0.979118,58,191,1021,2.81731e+06,3.09857e+06
5424,0.979118,58,144,1021,2.81729e+06,3.0986e+06
5464,0.979118,58,104,1021,2.81731e+06,3.09858e+06
5504,0.979118,58,64,1021,2.81722e+06,3.09833e+06
5544,0.979118,58,24,1021,2.81709e+06,3.0979e+06
5584,0.979118,58,1005,1021,2.81701e+06,3.09769e+06
5627,0.979118,58,962,1021,2.81698e+06,3.09763e+06
5667,0.979118,58,922,1021,2.81696e+06,3.09761e+06
5707,0.979118,58,882,1021,2.81699e+06,3.0977e+06
5747,0.984339,59,761,1015,2.81707e+06,3.09789e+06
5787,0.984339,59,721,1015,2.8171e+06,3.09803e+06
5831,0.984339,59,677,1015,2.81713e+06,3.09814e+06
5871,0.984339,59,637,1015,2.81715e+06,3.09821e+06
5911,0.984339,59,597,1015,2.81719e+06,3.0983e+06
5951,0.984339,59,557,1015,2.8172e+06,3.09837e+06
5991,0.984339,59,517,1015,2.81721e+06,3.09841e+06
6033,0.984339,59,475,1015,2.81723e+06,3.09845e+06
6073,0.984339,59,435,1015,2.81725e+06,3.09849e+06
6113,0.984339,59,395,1015,2.81725e+06,3.09853e+06
6153,0.984339,59,355,1015,2.81727e+06,3.09858e+06
6193,0.984339,59,315,1015,2.8173e+06,3.09863e+06
6235,0.984339,59,273,1015,2.8173e+06,3.09867e+06
6275,0.984339,59,233,1015,2.8173e+06,3.0987e+06
6315,0.984339,59,193,1015,2.81731e+06,3.09874e+06
6355,0.984339,59,153,1015,2.81732e+06,3.09879e+06
6395,0.984339,59,113,1015,2.81736e+06,3.09884e+06
6440,0.984339,59,68,1015,2.81736e+06,3.09885e+06
6480,0.984339,59,28,1015,2.8173e+06,3.09865e+06
6520,0.984339,59,1003,1015,2.81717e+06,3.09824e+06
6560,0.984339,59,963,1015,2.81708e+06,3.09799e+06
6600,0.984339,59,923,1015,2.81705e+06,3.09795e+06
6645,0.984339,59,878,1015,2.81705e+06,3.09797e+06
6685,0.984339,59,838,1015,2.81706e+06,3.09801e+06
6725,0.984339,59,798,1015,2.8171e+06,3.09818e+06
6765,0.984339,59,758,1015,2.81715e+06,3.09832e+06
6805,0.977612,58,766,1022,2.81717e+06,3.09837e+06
6850,0.977612,58,721,1022,2.8172e+06,3.09839e+06
6890,0.977612,58,681,1022,2.8172e+06,3.09845e+06
6930,0.977612,58,641,1022,2.81722e+06,3.09851e+06
6970,0.977612,58,601,1022,2.81723e+06,3.09857e+06
7010,0.977612,58,561,1022,2.81724e+06,3.09861e+06
7054,0.977612,58,517,1022,2.81726e+06,3.09865e+06
7094,0.977612,58,477,1022,2.81725e+06,3.09866e+06
7134,0.977612,58,437,1022,2.81725e+06,3.09868e+06
7174,0.977612,58,397,1022,2.81729e+06,3.09874e+06
7214,0.977612,58,357,1022,2.81729e+06,3.09877e+06
7258,0.977612,58,313,1022,2.81727e+06,3.09878e+06
