Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
36102,0.991282,59,105,1008,2.81663e+06,3.09947e+06
36142,0.991282,59,65,1008,2.81662e+06,3.09945e+06
36184,0.991282,59,23,1008,2.81663e+06,3.09951e+06
36224,0.991282,59,991,1008,2.8167e+06,3.09965e+06
36264,0.991282,59,951,1008,2.81674e+06,3.09973e+06
36304,1.0071,60,744,992,2.81672e+06,3.09971e+06
36344,1.0071,60,704,992,2.81675e+06,3.09974e+06
36385,1.0071,60,663,992,2.8168e+06,3.09983e+06
36425,1.0071,60,623,992,2.81683e+06,3.0999e+06
36465,1.0071,60,583,992,2.81686e+06,3.09998e+06
36505,1.0071,60,543,992,2.8169e+06,3.10004e+06
36545,1.0071,60,503,992,2.81694e+06,3.10012e+06
36587,1.0071,60,461,992,2.81697e+06,3.10015e+06
36627,1.0071,60,421,992,2.81698e+06,3.10019e+06
36667,1.0071,60,381,992,2.81698e+06,3.10025e+06
36707,1.0071,60,341,992,2.81702e+06,3.1003e+06
36747,1.0071,60,301,992,2.81706e+06,3.10036e+06
36791,1.0071,60,257,992,2.81706e+06,3.1004e+06
36831,1.0071,60,217,992,2.81709e+06,3.10045e+06
36871,1.0071,60,177,992,2.8171e+06,3.10049e+06
36911,1.0071,60,137,992,2.8171e+06,3.10044e+06
36951,1.0071,60,97,992,2.81696e+06,3.10007e+06
36995,1.0071,60,53,992,2.81676e+06,3.09964e+06
37035,1.0071,60,13,992,2.81669e+06,3.0995e+06
37075,1.0071,60,965,992,2.81668e+06,3.09946e+06
37115,1.0071,60,925,992,2.81668e+06,3.09945e+06
37155,1.0071,60,885,992,2.81669e+06,3.09948e+06
37195,1.01117,60,741,988,2.81676e+06,3.09965e+06
37200,1.01117,60,736,988,2.8168e+06,3.09972e+06
37240,1.01117,60,696,988,2.8168e+06,3.09974e+06
37280,1.01117,60,656,988,2.81683e+06,3.09979e+06
37320,1.01117,60,616,988,2.81686e+06,3.09987e+06
37360,1.01117,60,576,988,2.8169e+06,3.09995e+06
37402,1.01117,60,534,988,2.81694e+06,3.10002e+06
37442,1.01117,60,494,988,2.81696e+06,3.10009e+06
37482,1.01117,60,454,988,2.817e+06,3.10016e+06
37522,1.01117,60,414,988,2.81705e+06,3.10023e+06
37562,1.01117,60,374,988,2.81705e+06,3.10029e+06
37608,1.01117,60,328,988,2.81708e+06,3.10032e+06
37648,1.01117,60,288,988,2.81709e+06,3.10038e+06
37688,1.01117,60,248,988,2.81711e+06,3.10043e+06
37728,1.01117,60,208,988,2.81713e+06,3.10048e+06
37768,1.01117,60,168,988,2.81716e+06,3.10052e+06
37814,1.01117,60,122,988,2.81718e+06,3.10056e+06
37854,1.01117,60,82,988,2.81718e+06,3.10054e+06
37894,1.01117,60,42,988,2.81705e+06,3.10024e+06
37934,1.01117,60,2,988,2.81684e+06,3.09976e+06
37974,1.01117,60,950,988,2.81676e+06,3.0996e+06
38021,1.01117,60,903,988,2.81675e+06,3.09953e+06
38061,1.01117,60,863,988,2.81673e+06,3.09951e+06
38101,1.01117,60,823,988,2.81674e+06,3.09954e+06
38141,1.01117,60,783,988,2.8168e+06,3.09966e+06
38181,1.00885,60,743,991,2.81686e+06,3.09978e+06
38227,1.00885,60,697,991,2.81687e+06,3.09979e+06
38267,1.00885,60,657,991,2.81687e+06,3.09981e+06
38307,1.00885,60,617,991,2.81691e+06,3.09989e+06
38347,1.00885,60,577,991,2.81694e+06,3.09995e+06
38387,1.00885,60,537,991,2.81698e+06,3.10002e+06
38427,1.00885,60,497,991,2.81701e+06,3.10008e+06
38467,1.00885,60,457,991,2.81702e+06,3.10014e+06
38507,1.00885,60,417,991,2.81704e+06,3.10018e+06
38547,1.00885,60,377,991,2.81707e+06,3.1002e+06
38587,1.00885,60,337,991,2.81709e+06,3.10027e+06
38634,1.00885,60,290,991,2.81709e+06,3.10031e+06
38674,1.00885,60,250,991,2.8171e+06,3.10033e+06
38714,1.00885,60,210,991,2.81711e+06,3.10037e+06
38754,1.00885,60,170,991,2.81714e+06,3.10042e+06
38794,1.00885,60,130,991,2.81716e+06,3.10046e+06
38834,1.00885,60,90,991,2.81716e+06,3.10047e+06
38839,1.00885,60,85,991,2.81704e+06,3.1002e+06
38879,1.00885,60,45,991,2.81683e+06,3.09969e+06
38919,1.00885,60,5,991,2.81675e+06,3.09947e+06
38959,1.00885,60,956,991,2.81671e+06,3.09942e+06
38999,1.00885,60,916,991,2.81669e+06,3.09939e+06
39045,1.00885,60,870,991,2.81669e+06,3.09939e+06
39085,1.01586,60,738,984,2.81673e+06,3.09952e+06
39125,1.01586,60,698,984,2.81677e+06,3.09966e+06
39165,1.01586,60,658,984,2.8168e+06,3.0997e+06
39205,1.01586,60,618,984,2.81682e+06,3.09972e+06
39250,1.01586,60,573,984,2.81686e+06,3.09979e+06
39290,1.01586,60,533,984,2.81688e+06,3.09986e+06
39330,1.01586,60,493,984,2.8169e+06,3.09994e+06
39370,1.01586,60,453,984,2.81695e+06,3.10002e+06
39410,1.01586,60,413,984,2.81698e+06,3.10009e+06
39456,1.01586,60,367,984,2.817e+06,3.10014e+06
39496,1.01586,60,327,984,2.81701e+06,3.1002e+06
39536,1.01586,60,287,984,2.81705e+06,3.10023e+06
39576,1.01586,60,247,984,2.81706e+06,3.1003e+06
39616,1.01586,60,207,984,2.81709e+06,3.10034e+06
39661,1.01586,60,162,984,2.81711e+06,3.1004e+06
39701,1.01586,60,122,984,2.81712e+06,3.10045e+06
39741,1.01586,60,82,984,2.81716e+06,3.1005e+06
39781,1.01586,60,42,984,2.81716e+06,3.10052e+06
39821,1.01586,60,2,984,2.81709e+06,3.1003e+06
39861,1.01586,60,946,984,2.81689e+06,3.09983e+06
39901,1.01586,60,906,984,2.81676e+06,3.09958e+06
39941,1.01586,60,866,984,2.81674e+06,3.09955e+06
39981,1.01586,60,826,984,2.81675e+06,3.09954e+06
40021,1.01586,60,786,984,2.81675e+06,3.09957e+06
